image_path,stack_id,z_index,z_focus_position,defocus_position,z_current_um,z_focus_um,defocus_um,brenner_score,split
data/wbc_multifocus/0_0.jpg,0,0,6.0,-6.0,0.0,2.4000000000000004,-2.4000000000000004,5040066.24969417,train
data/wbc_multifocus/0_1.jpg,0,1,6.0,-5.0,0.4,2.4000000000000004,-2.0,4146663.8569338713,train
data/wbc_multifocus/0_2.jpg,0,2,6.0,-4.0,0.8,2.4000000000000004,-1.6,4777980.188687679,train
data/wbc_multifocus/0_3.jpg,0,3,6.0,-3.0,1.2000000000000002,2.4000000000000004,-1.2000000000000002,7541111.155591624,train
data/wbc_multifocus/0_4.jpg,0,4,6.0,-2.0,1.6,2.4000000000000004,-0.8,10758115.641303096,train
data/wbc_multifocus/0_5.jpg,0,5,6.0,-1.0,2.0,2.4000000000000004,-0.4,12290837.169715473,train
data/wbc_multifocus/0_6.jpg,0,6,6.0,0.0,2.4000000000000004,2.4000000000000004,0.0,12442289.507387396,train
data/wbc_multifocus/0_7.jpg,0,7,6.0,1.0,2.8000000000000003,2.4000000000000004,0.4,11243398.242224565,train
data/wbc_multifocus/0_8.jpg,0,8,6.0,2.0,3.2,2.4000000000000004,0.8,9837922.868263416,train
data/wbc_multifocus/0_9.jpg,0,9,6.0,3.0,3.6,2.4000000000000004,1.2000000000000002,8241957.104323439,train
data/wbc_multifocus/1_0.jpg,1,0,4.0,-4.0,0.0,1.6,-1.6,7819137.183703304,train
data/wbc_multifocus/1_1.jpg,1,1,4.0,-3.0,0.4,1.6,-1.2000000000000002,10274144.765479097,train
data/wbc_multifocus/1_2.jpg,1,2,4.0,-2.0,0.8,1.6,-0.8,12385992.643659338,train
data/wbc_multifocus/1_3.jpg,1,3,4.0,-1.0,1.2000000000000002,1.6,-0.4,13972295.801889319,train
data/wbc_multifocus/1_4.jpg,1,4,4.0,0.0,1.6,1.6,0.0,14500019.325519407,train
data/wbc_multifocus/1_5.jpg,1,5,4.0,1.0,2.0,1.6,0.4,13953957.365656668,train
data/wbc_multifocus/1_6.jpg,1,6,4.0,2.0,2.4000000000000004,1.6,0.8,12608934.592231076,train
data/wbc_multifocus/1_7.jpg,1,7,4.0,3.0,2.8000000000000003,1.6,1.2000000000000002,10829195.060939388,train
data/wbc_multifocus/1_8.jpg,1,8,4.0,4.0,3.2,1.6,1.6,9148689.882365003,train
data/wbc_multifocus/1_9.jpg,1,9,4.0,5.0,3.6,1.6,2.0,7540866.955998755,train
data/wbc_multifocus/10_0.jpg,10,0,6.0,-6.0,0.0,2.4000000000000004,-2.4000000000000004,3869746.5027159946,train
data/wbc_multifocus/10_1.jpg,10,1,6.0,-5.0,0.4,2.4000000000000004,-2.0,4263998.991758811,train
data/wbc_multifocus/10_2.jpg,10,2,6.0,-4.0,0.8,2.4000000000000004,-1.6,5173000.047033703,train
data/wbc_multifocus/10_3.jpg,10,3,6.0,-3.0,1.2000000000000002,2.4000000000000004,-1.2000000000000002,5910391.383190917,train
data/wbc_multifocus/10_4.jpg,10,4,6.0,-2.0,1.6,2.4000000000000004,-0.8,7790538.968351364,train
data/wbc_multifocus/10_5.jpg,10,5,6.0,-1.0,2.0,2.4000000000000004,-0.4,10750422.880168257,train
data/wbc_multifocus/10_6.jpg,10,6,6.0,0.0,2.4000000000000004,2.4000000000000004,0.0,12524416.054475421,train
data/wbc_multifocus/10_7.jpg,10,7,6.0,1.0,2.8000000000000003,2.4000000000000004,0.4,11101694.518009242,train
data/wbc_multifocus/10_8.jpg,10,8,6.0,2.0,3.2,2.4000000000000004,0.8,8598090.654493114,train
data/wbc_multifocus/10_9.jpg,10,9,6.0,3.0,3.6,2.4000000000000004,1.2000000000000002,6434309.633859388,train
data/wbc_multifocus/100_0.jpg,100,0,5.0,-5.0,0.0,2.0,-2.0,4255049.356320928,train
data/wbc_multifocus/100_1.jpg,100,1,5.0,-4.0,0.4,2.0,-1.6,4575945.625395425,train
data/wbc_multifocus/100_2.jpg,100,2,5.0,-3.0,0.8,2.0,-1.2000000000000002,5345460.486688601,train
data/wbc_multifocus/100_3.jpg,100,3,5.0,-2.0,1.2000000000000002,2.0,-0.8,7344828.624784036,train
data/wbc_multifocus/100_4.jpg,100,4,5.0,-1.0,1.6,2.0,-0.4,10356215.3007154,train
data/wbc_multifocus/100_5.jpg,100,5,5.0,0.0,2.0,2.0,0.0,12257953.310070433,train
data/wbc_multifocus/100_6.jpg,100,6,5.0,1.0,2.4000000000000004,2.0,0.4,12238219.799954368,train
